,Prime Number Range,Key Generation Time,Encryption Time,Decryption Time,CRT Decryption Time
0,4-5,0.00018835067749023438,5.817413330078125e-06,4.0531158447265625e-06,3.862380981445312e-06
1,5-6,0.0003391265869140625,5.435943603515625e-06,4.243850708007813e-06,4.100799560546875e-06
2,6-7,0.0015135765075683593,5.91278076171875e-06,4.673004150390625e-06,4.1961669921875e-06
3,7-8,0.005080318450927735,3.6716461181640626e-06,3.147125244140625e-06,2.86102294921875e-06
4,8-9,0.031063652038574217,5.626678466796875e-06,6.055831909179687e-06,6.389617919921875e-06
5,9-10,0.14839439392089843,8.0108642578125e-06,8.296966552734374e-06,8.106231689453125e-06
6,10-11,0.41263389587402344,6.341934204101563e-06,6.628036499023438e-06,6.4373016357421875e-06
7,11-12,1.1403514862060546,6.29425048828125e-06,6.103515625e-06,5.769729614257812e-06
8,12-13,1.728626537322998,6.389617919921875e-06,6.103515625e-06,5.91278076171875e-06
9,13-14,21.803680610656738,6.771087646484375e-06,6.103515625e-06,5.91278076171875e-06
10,14-15,92.49393606185913,7.200241088867187e-06,6.4849853515625e-06,6.29425048828125e-06
